timestamp,device_id,device_name,cycle,vibration,temperature,current,voltage,rpm,health,stage,label,fault_type
2026-01-01T08:00:00,MOTOR-001,主电机,0,1.688,55.02,81.46,381.34,1476.9,1.0,正常运行,normal,
2026-01-01T09:00:00,MOTOR-001,主电机,6,1.486,55.81,79.05,381.19,1478.9,0.9951,正常运行,normal,
2026-01-01T10:00:00,MOTOR-001,主电机,12,1.668,55.92,80.04,375.71,1480.2,1.0,正常运行,normal,
2026-01-01T11:00:00,MOTOR-001,主电机,18,1.448,56.56,76.92,379.87,1487.3,1.0,正常运行,normal,
2026-01-01T12:00:00,MOTOR-001,主电机,24,1.576,58.0,81.01,384.81,1476.2,0.9981,正常运行,normal,
2026-01-01T13:00:00,MOTOR-001,主电机,30,1.5,57.27,77.9,382.72,1484.7,1.0,正常运行,normal,
2026-01-01T14:00:00,MOTOR-001,主电机,36,1.581,58.15,77.03,382.81,1481.9,0.9936,正常运行,normal,
2026-01-01T15:00:00,MOTOR-001,主电机,42,1.498,57.61,80.03,381.74,1477.3,0.979,正常运行,normal,
2026-01-01T16:00:00,MOTOR-001,主电机,48,1.488,58.3,72.95,377.42,1476.5,1.0,正常运行,normal,
2026-01-01T17:00:00,MOTOR-001,主电机,54,1.433,56.02,71.45,377.27,1480.0,0.9777,正常运行,normal,
2026-01-01T18:00:00,MOTOR-001,主电机,60,1.492,56.63,71.48,380.66,1485.8,0.9954,正常运行,normal,
2026-01-01T19:00:00,MOTOR-001,主电机,66,1.355,54.21,71.71,381.73,1481.1,0.9895,正常运行,normal,
2026-01-01T20:00:00,MOTOR-001,主电机,72,1.36,54.17,70.91,376.39,1489.2,0.9939,正常运行,normal,
2026-01-01T21:00:00,MOTOR-001,主电机,78,1.453,54.7,70.1,381.19,1484.4,1.0,正常运行,normal,
2026-01-01T22:00:00,MOTOR-001,主电机,84,1.353,52.99,72.94,381.66,1481.9,0.9865,正常运行,normal,
2026-01-01T23:00:00,MOTOR-001,主电机,90,1.471,52.82,75.7,383.73,1484.9,1.0,正常运行,normal,
2026-01-02T00:00:00,MOTOR-001,主电机,96,1.489,52.52,77.21,385.29,1481.9,0.9764,正常运行,normal,
2026-01-02T01:00:00,MOTOR-001,主电机,102,1.441,52.55,77.46,379.58,1475.9,0.9816,正常运行,normal,
2026-01-02T02:00:00,MOTOR-001,主电机,108,1.507,51.37,79.91,378.23,1472.1,0.9928,正常运行,normal,
2026-01-02T03:00:00,MOTOR-001,主电机,114,1.471,53.21,76.05,381.47,1479.6,0.9891,正常运行,normal,
2026-01-02T04:00:00,MOTOR-001,主电机,120,1.392,53.03,71.87,384.17,1484.9,0.9719,正常运行,normal,
2026-01-02T05:00:00,MOTOR-001,主电机,126,1.538,53.4,85.28,379.83,1473.0,0.9796,正常运行,normal,
2026-01-02T06:00:00,MOTOR-001,主电机,132,1.816,54.0,89.67,380.31,1476.4,0.9798,正常运行,normal,
2026-01-02T07:00:00,MOTOR-001,主电机,138,1.884,55.02,94.68,382.25,1481.3,0.9836,正常运行,normal,
2026-01-02T08:00:00,MOTOR-001,主电机,144,1.607,55.91,86.49,378.29,1479.6,0.9703,正常运行,normal,
2026-01-02T09:00:00,MOTOR-001,主电机,150,1.623,55.11,89.53,379.43,1479.0,0.9729,正常运行,normal,
2026-01-02T10:00:00,MOTOR-001,主电机,156,1.947,57.29,91.5,385.7,1478.8,0.9748,正常运行,normal,
2026-01-02T11:00:00,MOTOR-001,主电机,162,1.728,58.47,91.5,373.93,1476.2,0.9605,正常运行,normal,
2026-01-02T12:00:00,MOTOR-001,主电机,168,1.836,58.72,95.29,373.12,1478.5,0.9686,正常运行,normal,
2026-01-02T13:00:00,MOTOR-001,主电机,174,1.773,59.16,95.51,381.69,1474.6,0.9514,正常运行,normal,
2026-01-02T14:00:00,MOTOR-001,主电机,180,1.811,57.9,87.83,375.75,1474.8,0.9663,正常运行,normal,
2026-01-02T15:00:00,MOTOR-001,主电机,186,1.598,59.68,89.34,379.74,1473.2,0.9706,正常运行,normal,
2026-01-02T16:00:00,MOTOR-001,主电机,192,1.759,59.24,89.64,380.88,1476.3,0.9492,正常运行,normal,
2026-01-02T17:00:00,MOTOR-001,主电机,198,1.761,58.2,85.07,381.3,1483.0,0.9395,正常运行,normal,
